#No.      Date        Time         Lat.      Lon.        Dep.     Mag.   Coef.     N(*MAD)        Reference
   1   2012/09/02   03:20:02.620   37.8000   139.9920     7.80   -0.19  0.5341   21.4678      20120902032225.53
   2   2012/09/02   03:20:10.550   37.7960   139.9950     8.00   -0.16  0.3708   15.4428      20120902034541.57
   3   2012/09/02   03:20:17.510   37.7960   140.0000     8.00    0.74  0.5788   23.7797      20120902034541.57
   4   2012/09/02   03:20:34.410   37.7960   139.9990     8.40    0.60  0.4442   18.1856      20120902034823.31
   5   2012/09/02   03:20:44.660   37.7960   140.0050     7.80   -0.17  0.3094   12.9587      20120902033351.61
   6   2012/09/02   03:20:54.690   37.8030   140.0060     8.20    0.51  0.3785   14.8345      20120902032413.12
   7   2012/09/02   03:21:06.880   37.8110   140.0000     8.20    0.11  0.3545   14.2552      20120902034421.21
   8   2012/09/02   03:21:25.850   37.7940   139.9960     6.30    0.12  0.4335   17.8485      20120902032626.52
   9   2012/09/02   03:21:36.060   37.7960   139.9940     8.40   -0.13  0.4208   17.3989      20120902034823.31
  10   2012/09/02   03:21:43.410   37.7960   139.9950     8.20    0.06  0.5273   21.4835      20120902034421.21
  11   2012/09/02   03:22:12.150   37.7940   139.9980     7.90    1.17  0.4038   16.3612      20120902034301.07
  12   2012/09/02   03:22:25.530   37.8000   139.9920     7.80    2.60  1.0000   40.1795      20120902032225.53
  13   2012/09/02   03:23:28.890   37.8000   139.9920     7.80    0.16  0.5390   21.6643      20120902032225.53
  14   2012/09/02   03:24:13.120   37.7880   140.0010     8.20    3.00  1.0000   40.5565      20120902032413.12
  15   2012/09/02   03:25:16.610   37.8010   140.0050     8.20    0.65  0.3871   15.6169      20120902034421.21
  16   2012/09/02   03:25:23.980   37.7890   140.0010     6.30    1.03  0.5521   22.4667      20120902032626.52
  17   2012/09/02   03:25:36.550   37.7970   139.9980     7.20    1.67  0.6884   27.7870      20120902034130.37
  18   2012/09/02   03:26:03.640   37.7880   140.0010     8.20    0.09  0.4359   17.6912      20120902032413.12
  19   2012/09/02   03:26:14.150   37.7890   140.0010     6.30    0.72  0.8516   34.6524      20120902032626.52
  20   2012/09/02   03:26:26.520   37.7890   140.0010     6.30    2.70  1.0000   40.6892      20120902032626.52
  21   2012/09/02   03:26:35.510   37.7880   140.0010     8.20    1.98  0.4573   18.5583      20120902032413.12
  22   2012/09/02   03:27:05.590   37.7880   140.0010     8.20    0.78  0.4434   17.9952      20120902032413.12
  23   2012/09/02   03:27:29.570   37.7970   140.0020     7.40    0.54  0.3846   15.8610      20120902034343.16
  24   2012/09/02   03:27:50.960   37.7910   139.9990     8.40    1.26  0.4958   20.2515      20120902034823.31
  25   2012/09/02   03:28:08.520   37.7880   140.0040     8.20    0.34  0.5379   21.0742      20120902034748.15
  26   2012/09/02   03:28:24.640   37.7880   140.0010     8.20    0.67  0.5485   22.2546      20120902032413.12
  27   2012/09/02   03:28:33.430   37.7890   139.9980     7.90    1.05  0.6686   26.7994      20120902034301.07
  28   2012/09/02   03:28:43.610   37.7910   140.0050     7.80    0.54  0.3736   15.4710      20120902033351.61
  29   2012/09/02   03:28:52.630   37.7910   140.0050     7.80    1.26  0.5626   23.2852      20120902033351.61
  30   2012/09/02   03:29:11.330   37.7890   139.9960     6.30    0.49  0.6125   25.3054      20120902032626.52
  31   2012/09/02   03:29:24.550   37.7890   139.9960     6.30    0.15  0.4127   17.0534      20120902032626.52
  32   2012/09/02   03:29:35.950   37.7910   140.0050     7.80    0.63  0.6288   26.0202      20120902033351.61
